city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tokyo,Tokyo,35.6897,139.6922,Japan,JP,JPN,Tèçkyèç,primary,37977000,1392685764
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,ID,IDN,Jakarta,primary,34540000,1360771077
Delhi,Delhi,28.66,77.23,India,IN,IND,Delhi,admin,29617000,1356872604
Mumbai,Mumbai,18.9667,72.8333,India,IN,IND,MahéÅréÅshtra,admin,23355000,1356226629
Manila,Manila,14.6,120.9833,Philippines,PH,PHL,Manila,primary,23088000,1608618140
Shanghai,Shanghai,31.1667,121.4667,China,CN,CHN,Shanghai,admin,22120000,1156073548
S?úo Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BR,BRA,S?úo Paulo,admin,22046000,1076532519
Seoul,Seoul,37.56,126.99,"Korea, South",KR,KOR,Seoul,primary,21794000,1410836482
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,Ciudad de M??xico,primary,20996000,1484247881
Guangzhou,Guangzhou,23.1288,113.259,China,CN,CHN,Guangdong,admin,20902000,1156237133
Beijing,Beijing,39.905,116.3914,China,CN,CHN,Beijing,primary,19433000,1156228865
Cairo,Cairo,30.0561,31.2394,Egypt,EG,EGY,Al QéÅhirah,primary,19372000,1818253931
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18713220,1840034016
KolkéÅta,Kolkata,22.5411,88.3378,India,IN,IND,West Bengal,admin,17560000,1356060520
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,Moskva,primary,17125000,1643318494
Bangkok,Bangkok,13.75,100.5167,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,17066000,1764068610
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,AR,ARG,"Buenos Aires, Ciudad Aut??noma de",primary,16157000,1032717330
Shenzhen,Shenzhen,22.535,114.054,China,CN,CHN,Guangdong,minor,15929000,1156158707
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BD,BGD,Dhaka,primary,15443000,1050529279
Lagos,Lagos,6.45,3.4,Nigeria,NG,NGA,Lagos,minor,15279000,1566593751
Istanbul,Istanbul,41.01,28.9603,Turkey,TR,TUR,é¯stanbul,admin,15154000,1792756324
è?saka,Osaka,34.75,135.4601,Japan,JP,JPN,è?saka,admin,14977000,1392419823
Karachi,Karachi,24.86,67.01,Pakistan,PK,PAK,Sindh,admin,14835000,1586129469
Bangalore,Bangalore,12.9699,77.598,India,IN,IND,KarnéÅtaka,admin,13707000,1356410365
Tehran,Tehran,35.7,51.4167,Iran,IR,IRN,TehréÅn,primary,13633000,1364305026
Kinshasa,Kinshasa,-4.3233,15.3081,Congo (Kinshasa),CD,COD,Kinshasa,primary,13528000,1180000363
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,VNM,H†Ø? Ch?? Minh,admin,13312000,1704774326
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,California,,12750807,1840020491
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964,Brazil,BR,BRA,Rio de Janeiro,admin,12272000,1076887657
Nanyang,Nanyang,32.9987,112.5292,China,CN,CHN,Henan,,12010000,1156192287
Baoding,Baoding,38.8671,115.4845,China,CN,CHN,Hebei,,11860000,1156256829
Chennai,Chennai,13.0825,80.275,India,IN,IND,Tamil NéÅdu,admin,11324000,1356374944
Chengdu,Chengdu,30.66,104.0633,China,CN,CHN,Sichuan,admin,11309000,1156421555
Lahore,Lahore,31.5497,74.3436,Pakistan,PK,PAK,Punjab,admin,11021000,1586801463
Paris,Paris,48.8566,2.3522,France,FR,FRA,??le-de-France,primary,11020000,1250015082
